rating_id,company_id,analyst_firm,rating,target_price_usd,rating_date
20692,32,Credit Suisse,Outperform,,2020-07-17
20693,32,B of A Securities,Buy,,2020-07-10
20694,32,Seaport Global,Buy,,2020-07-08
20695,32,DA Davidson,Buy,,2020-06-24
20696,32,Argus Research,Buy,,2020-04-17
20697,32,Oppenheimer,Outperform,,2020-04-17
20698,32,CFRA,Hold,,2020-04-16
20699,32,Wells Fargo,Neutral,,2020-04-06
20700,32,Piper Sandler,Neutral,,2020-04-03
20701,32,Credit Suisse,Outperform,,2020-04-02
20702,32,Deutsche Bank,Hold,,2020-04-02
20703,32,Wells Fargo,Neutral,,2020-04-01
20704,32,Oppenheimer,Outperform,,2020-04-01
20705,32,Citigroup,Buy,,2020-03-30
20706,32,UBS,Buy,,2020-03-25
20707,32,B of A Securities,Buy,,2020-03-23
20708,32,Goldman Sachs,Buy,,2020-03-13
20709,32,Citigroup,Buy,,2020-03-04
20710,32,DA Davidson,Neutral,,2020-02-21
20711,32,Citigroup,Neutral,,2020-01-21
20712,32,B of A Securities,Buy,,2020-01-17
20713,32,Piper Sandler,Neutral,,2020-01-17
20714,32,JMP Securities,Market Perform,,2020-01-13
20715,32,DA Davidson,Buy,,2020-01-09
20716,32,DA Davidson,Buy,,2020-01-08
20717,32,Piper Sandler,Buy,,2019-10-10
20718,32,Citigroup,Buy,,2019-07-12
20719,32,Citigroup,Neutral,,2019-04-18
20720,32,Oppenheimer,Outperform,,2019-03-26
20721,32,Societe Generale,Sell,,2019-02-01
20722,32,Citigroup,Buy,,2019-01-10
20723,32,Credit Suisse,Outperform,,2018-12-07
20724,32,Wells Fargo,Outperform,,2018-10-24
20725,32,HSBC,Hold,,2018-10-02
20726,32,Citigroup,Neutral,,2018-07-20
20727,32,Bernstein,Market Perform,,2018-07-19
20728,32,Barclays,Neutral,,2018-04-19
20729,32,Credit Suisse,Outperform,,2018-04-19
20730,32,Bernstein,Underperform,,2018-04-10
20731,32,Atlantic Equities,Overweight,,2018-01-10
20732,32,"Keefe, Bruyette & Woods",Outperform,,2017-12-13
20733,32,Barclays,Neutral,,2017-10-18
20734,32,Buckingham Research,Buy,,2017-10-18
20735,32,BMO Capital,Outperform,,2017-10-18
20736,32,Citigroup,Neutral,,2017-10-10
20737,32,Citigroup,Neutral,,2017-10-09
20738,32,Credit Suisse,Outperform,,2017-10-09
20739,32,HSBC,Buy,,2017-09-15
20740,32,BMO Capital,Outperform,,2017-07-20
20741,32,B of A Securities,Buy,,2017-07-20
20742,32,Deutsche Bank,Buy,,2017-03-29
20743,32,Compass Point,Neutral,,2017-02-22
20744,32,Societe Generale,Buy,,2017-01-12
20745,32,Atlantic Equities,Neutral,,2016-12-21
20746,32,HSBC,Hold,,2016-12-05
20747,32,Deutsche Bank,Hold,,2016-11-30
20748,32,Guggenheim,Buy,,2016-10-20
20749,32,Citigroup,Neutral,,2016-10-10
20750,32,Piper Sandler,Hold,,2016-10-06
20751,32,Macquarie,Outperform,,2016-10-05
20752,32,Argus Research,Buy,,2016-08-17
20753,32,Berenberg,Hold,,2016-07-13
20754,32,"Keefe, Bruyette & Woods",Market Perform,,2016-04-19
20755,32,Barclays,Neutral,,2016-04-06
20756,32,Credit Suisse,Neutral,,2016-03-30
20757,32,JP Morgan,Overweight,,2016-02-16
20758,32,Atlantic Equities,Underweight,,2016-02-03
